id,jobname,joburl,jobcategory,companyname,companyurl,companycategory
fyeo11,Business Development Lead,https://www.fyeo.io/careers-blockchain-business-development-lead,SALES,FYEO,https://www.fyeo.io/careers,DID
0xbow1,Web3 Senior Front End Engineer,https://web3.career/senior-front-end-engineer-0xbow/68422,ENGINEERING,0xbow,https://www.0xbow.io/,DeFi
0xbow2,Web3 Senior Software Engineer (Solidity),https://web3.career/senior-software-engineer-solidity-0xbow/68419,ENGINEERING,0xbow,https://www.0xbow.io/,DeFi
0xbow3,Senior Crypto Intelligence Analyst,https://web3.career/senior-crypto-intelligence-analyst-0xbow/68426,RESEARCH,0xbow,https://www.0xbow.io/,DeFi
aleo1,Social Lead,https://aleo.org/job/social-lead/,MARKETING,Aleo,https://aleo.org/careers/,Infra
fileverse1,Frontend Blockchain Developer,https://wellfound.com/jobs/2927110-frontend-blockchain-developer,ENGINEERING,Fileverse,https://wellfound.com/company/fileverse-1/jobs,Storage
zCloak1,Cryptography Writer,https://wellfound.com/jobs/2350719-cryptography-writer,RESEARCH,zCloak Network,https://wellfound.com/company/zcloak-network/jobs,DID
mask1,Overseas Technical Lead,https://wellfound.com/jobs/1911791-overseas-technical-lead,ENGINEERING,Mask Network,https://wellfound.com/company/mask-network/jobs,Social
cheqd1,Head of Sales/BD,https://wellfound.com/jobs/3005701-head-of-sales-bd,SALES,cheqd,https://wellfound.com/company/cheqd/jobs,DID
pse1,ZK Circuits Engineer,https://jobs.lever.co/ethereumfoundation/7a7da3a9-a080-40a9-8aed-9e81641650a4,ENGINEERING,Privacy & Scaling Explorations,https://jobs.lever.co/ethereumfoundation/?department=Ethereum Foundation&team=Privacy and Scaling Explorations,Infra
automata1,Business Development Manager,https://ata.careers/atanetwork/Business-Development-Manager-6466f2837d0e4a6c91b75f10dbf6fd89,SALES,Automata,https://ata.careers/,Infra
gnosisguild1,Applied Cryptographer,https://web3.career/applied-cryptographer-gnosis-guild/68341,RESEARCH,Gnosis Guild,https://applicantai.com/gnosis-guild/applied-cryptographer/668#apply,Infra
concordium1,Software Test Engineer,https://www.linkedin.com/jobs/search/?currentJobId=3915769275,ENGINEERING,Concordium,https://www.linkedin.com/company/concordium/jobs/,Infra
status1,Crypto Treasury Operations Specialist,https://status.app/jobs/5937260,FINANCE,Status,https://status.app/jobs,Infra
status2,L2 Business Development & Partnerships Lead,https://status.app/jobs/5929599,SALES,Status,https://status.app/jobs,Infra
status3,L2 Lead Developer,https://status.app/jobs/5931357,ENGINEERING,Status,https://status.app/jobs,Infra
status4,Senior DevOps Engineer (Blockchain),https://status.app/jobs/5911639,ENGINEERING,Status,https://status.app/jobs,Infra
iExec1,Software Engineer Backend Web3 (Java),https://www.welcometothejungle.com/en/companies/iexec/jobs/software-engineer-backend-web3-java-f-h?q=38ce96f7dd7d9a0acb570b8bff573ce3&o=8237e781-f3b5-43e5-a7a8-01d1f5e6669a,ENGINEERING,iExec,https://www.welcometothejungle.com/en/companies/iexec/jobs,Marketplace
iExec2,Senior Software Engineer Backend (Java),https://www.welcometothejungle.com/en/companies/iexec/jobs/senior-software-engineer-backend-java-f-h_lyon?q=38ce96f7dd7d9a0acb570b8bff573ce3&o=23425165-3ad1-496d-9b76-869c098b147a,ENGINEERING,iExec,https://www.welcometothejungle.com/en/companies/iexec/jobs,Marketplace
hopr1,Talent Pool,https://hopr.jobs.personio.de/job/751639?display=en,OTHER,HOPR,https://hoprnet.org/about-us/career,Infra
xmtp1,Staff Software Engineer,https://jobs.ashbyhq.com/xmtplabs/14629ece-ea9f-45cf-988a-b67bd6437455?ref=blog.xmtp.com,ENGINEERING,Xmtp,https://jobs.ashbyhq.com/xmtplabs?ref=blog.xmtp.com, Infra
sunscreen1,Staff Software Engineer,https://stirring-meerkat-294.notion.site/Staff-Software-Engineer-414364834f0442178d080ea633df9010,Engineering,Sunscreen,https://stirring-meerkat-294.notion.site/Jobs-at-Sunscreen-6966db120ec3425ead92f64b40d4cb17,Infra
sunscreen2,Cryptography Engineer,https://stirring-meerkat-294.notion.site/Cryptography-Engineer-6516320b644547c9b0ef4940684e2dc2,Engineering,Sunscreen,https://stirring-meerkat-294.notion.site/Jobs-at-Sunscreen-6966db120ec3425ead92f64b40d4cb17, Infra
web3privacynow1,Project manager,https://docs.web3privacy.info/contributors/,MANAGEMENT,Web3Privacy Now,https://docs.web3privacy.info/contributors/,Activism
